National winegrape bearing area (hectares) in 2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of planting,Algeria,Argentina,Armenia,Australia,Austria,Brazil,Bulgaria,Canada,Chile,Croatia,Cyprus,Czech Rep.,France,Georgia,Germany,Greece,Hungary,Italy,Luxembourg,Moldova,Morocco,New Zealand,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,Spain,Switzerland,Tunisia,United Kingdom,United states,Uruguay,Missing 9*,Global total 
code_country_iso3,DZA,ARG,ARM,AUS,AUT,BRA,BGR,CAN,CHL,HRV,CYP,CZE,FRA,GEO,DEU,GRC,HUN,ITA,LUX,MDA,MAR,NZL,PRT,ROU,RUS,SRB,SVK,SVN,ZAF,ESP,CHE,TUN,GBR,USA,URY,ZZZ,ZZZ
Charmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,7
Chasan,,,,,,,,,,,,,914,,,,,,,,,,,,,,,,,,,,,,,,914
Chasselas,,,,,,,,,404,,,,943,,1198,,1902,22,,,,25,,,,3450,,,,1,5373,,,,,,13318
Chasselas Rouge,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,11
Chatus,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,15
Chelva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10877,,,,,,,10877
Chenanson,,,,,,,,,,,,,636,,,,,,,,,,,,,,,,,,,,,,,,636
Chenel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339,,,,,,,,339
Chenin Blanc,,3591,,841,,,,,76,,,,9837,,,,,,,,,146,,,,,,,22566,105,1,,,8433,,210,45806
Chenivesse,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1
Chinuri,,,,,,,,,,,,,,955,,,,,,,,,,,,,,,,,,,,,,,955
Chkhaveri,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,20
Ciliegiolo,,,,,,,,,,,,,,,,,,2527,,,,,,,,,,,,,,,,,,,2527
Cinsaut,7550,,,,,,,,195,,,,31593,,,108,,274,,,3940,,,,,,,,3533,,,842,,33,,351,48419
Cinsaut Blanc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,,,,,41
Cinsaut Seedless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,9
Clairette,,,,,,,,,,,,,2918,,,,,147,,,,,,,,,,,938,,,,,,,,4003
Clairette Rose,,,,,,,,,,,,,356,,,,,,,,,,,,,,,,,,,,,,,,356
Clarin,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,11
Claverie,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Cococciola,,,,,,,,,,,,,,,,,,887,,,,,,,,,,,,,,,,,,,887
Coda di Volpe Bianca,,,,,,,,,,,,,,,,,,980,,,,,,,,,,,,,,,,,,,980
Codega de Larinho,,,,,,,,,,,,,,,,,,,,,,,4058,,,,,,,,,,,,,,4058
Codivarta,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Codrinski,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,5
Colgadero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,6
Colobel,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,3
Colombana Nera,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,126
Colombard,,,,1801,,,,,,,,,6896,,,,,,,,,,,,,,,,11432,,,,,18010,,8,38146
Colomino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,16
Coloraillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614,,,,,,,614
Completer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2
Complexa,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,6
Concord,,,,,,2509,,977,,,,,,,,,,,,,,,,,,,,,,,,,,8330,,,11816
Cornalin,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,92,,,,,,93
Cornarea,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,22
Cornifesto,,,,,,,,,,,,,,,,,,,,,,,259,,,,,,,,,,,,,,259
Cortese,,,,,,,,,,,,,,,,,,3113,,,,,,,,,,,,,,,,,,,3113
Corvina Veronese,,,,,,,,,,,,,,,,,,4781,,,,,,,,,,,,,,,,,,,4781
Corvinone,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,,,88
Cot,,16347,,429,,,,,929,,,,6129,,,,,251,,39,,67,,,,,,,76,23,0,,,97,,16,24402
Couderc,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4
Couderc Noir,,,,,,299,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,610
Counoise,,,,,,,,,,,,,638,,,,,,,,,,,,,,,,,,,,,,,,638
Courbu Blanc,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,,,,,,,47
Courbu Noir,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2
Cove,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,56
Crimson Seedless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Criolla Grande,,24641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24641
Croatina,,,,,,,,,,,,,,,,,,3116,,,,,,,,,,,,,,,,,,,3116
Crouchen,,,,98,,,,,,,,,1,,,,,,,,,,,,,,,,2161,,,,,,,,2259
Crovassa,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,2
Crystal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Cserszegi Fuszeres,,,,,,,,,,,,,,,,,2185,,,,,,,,,,,,,,,,,,,,2185
