National winegrape bearing area (hectares) in 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of plantin,Algeria,Argentina,Armenia,Australia,Austria,Brazil,Bulgaria,Canada,Chile,China,Croatia,Cyprus,Czech Rep.,France,Georgia,Germany,Greece,Hungary,Italy,Japan,Kazakhstan,Luxembourg,Mexico,Moldova,Morocco,Myanmar,New Zealand,Peru,Portugal,Romania,Russia,Serbia,Slovakia,Slovenia,South Africa,Spain,Switzerland,Thailand,Tunisia,Turkey,Ukraine,United Kingdom,United States ,Uruguay
code_country_iso3,DZA,ARG,ARM,AUS,AUT,BRA,BGR,CAN,CHL,CHN,HRV,CYP,CZE,FRA,GEO,DEU,GRC,HUN,ITA,JPN,KAZ,LUX,MEX,MDA,MAR,MMR,NZL,PER,PRT,ROU,RUS,SRB,SVK,SVN,ZAF,ESP,CHE,THA,TUN,TUR,UKR,GBR,USA,URY
Moscatello Selvatico,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,
Moscato di Scanzo,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,
Moscato di Terracina,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,,,,,,,,,,,,,,,,
Moscato Embrapa,,,,,,862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscato Giallo,,133,,,,126,,,25,,59,,,,,,,,1127,,,,,,,,,,,,,,,,,,,,,,,,,
Moscato Nazareno,,,,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moscato Rosa del Trentino,,,,,,0,,,,,14,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,
Moscatuel,,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moschofilero,,,,,,,,,,,,,,,,,934,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moschofilero II,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moschomavro,,,,,,,,,,,,,,,,,1428,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mostosa,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,
Mourisco de Semente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,
Mourisco de Trevoes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Mskhali,,,1093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mtsvane  Kakhuri,,,,,,,,,,,,,,,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muller Thurgau,,,,,2044,,,7,,,60,,1572,,,13480,,2098,1312,172,,184,,173,,,79,,,,106,,932,,,,493,,,,,43,,
Muscadel (Red),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,,,,,,,,,
Muscadelle,,,,67,,,,,,,,,,1589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muscat a Petits Grains Noirs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,
Muscat a Petits Grains Rouge,,,,230,,,,,,,,,,314,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,
Muscat Amber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,
Muscat Bailey A,,,,,,19,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,
Muscat Blanc a Petits Grains,,94,526,533,492,1005,,,,,56,,,7620,,170,2162,709,11506,,,,246,172,,7,,361,505,840,145,,48,353,689,1291,49,3,,114,674,,733,10
Muscat de Ialoveni,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,
Muscat Fleur d'Oranger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,
Muscat of Alexandria,,2939,,2043,,7,,,1090,,,120,,2610,,,,,1521,,,,,,3669,,,,647,,,,,,2167,8237,,,,,,,1285,
Muscat of Alexandria Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,
Muscat of Hamburg,,,,,,,,,,,14,,,3504,,,,12,73,,,,,,,,,,,,180,2760,,,,2,,,,,,,92,1500
Muscat Ottonel,,,,,359,,3236,,,,23,,60,,,60,,1232,0,,,,,1520,,,,,,3641,34,,48,,13,,,,,,,,,7
Muscat Rose,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,,,,,,,,,,,,,
Muscat Swenson,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Muscat Violet,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,
Muskat Moravsky,,,,,,,,,,,,,351,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,
Mustoasa de Maderat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,,,,,,,,,,,,,,
Naia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
Naparo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Narince,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,769,,,,
Nascetta,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,
Nasco,,,,,,,,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,
Nebbiera,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
Nebbiolo,,49,,98,,1,,0,11,,,,,,,,,,5536,,,,180,,,,1,,,,,,,,22,,,,,,,,68,26
Negoska,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negramoll,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252,676,,,,,,,1265,,,,,,,,
Negrette,,,,,,2,,,,,,,,1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Negretto,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,
Negroamaro,,,,,,,,,,,,,,,,,,,11460,,,,,,,,,,,,,,,,,,,,,,,,,
Negroamaro Precoce,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,
Negru de Ialoveni,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,
Nektar,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
Ner d'Ala,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,
Nerello Cappuccio,,,,,,,,,,,,,,,,,,,508,,,,,,,,,,,,,,,,,,,,,,,,,
Nerello Mascalese,,,,,,,,,,,,,,,,,,,2883,,,,,,,,,,,,,,,,,,,,,,,,,
Neretta Cuneese,,,,,,,,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,,,,,,,,
Neretto di Bairo,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,
Nero,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
Nero Buono di Cori,,,,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,
Nero d'Avola,,1,,,,,,,,,,,,,,,,,16595,,,,,,,,,,,,,,,,,,,,,,,,,
Nero di Troia,,,,,,,,,,,,,,,,,,,2572,,,,,,,,,,,,,,,,,,,,,,,,,
Neronet,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,
Neuburger,,,,,652,,,,,,,,303,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,
Nevoeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,
New York Muscat,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neyret,,,,,,,,,,,,,,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,
Niagara,,,,,,3177,,155,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,1210,
Nieddera,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,,,,,,,,,,,
Nigra,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Nincusa,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,,,
Nobling,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nocera,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
Noiret,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,
Noria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Norton,,,,,,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,
Nosiola,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,,,,,,,,
Nosztori Rizling,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Notardomenico,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
Nouvelle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422,,,,,,,,,
Nuragus,,,,,,,,,,,,,,,,,,,1345,,,,,,,,,,,,,,,,,,,,,,,,,
Odessky Cherny,,,,,,,,,,,,,17,,,,,7,,,,,,,,,,,,,,,236,,,,,,,,2426,,,
Odysseus,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
Ofthalmo,,,,,,,,,,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ohanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Ojaleshi,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okuzgozu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1479,,,,
Ondarrabi Zuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,492,,,,,,,,
Onitskanskii Belyi,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,66,,,,,,,,,,,,,
Optima,,,,,,,,6,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Ora,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oraniensteiner,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Orion,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,10,,
Orpheus,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Orpicchio,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Ortega,,,,,,,,29,,,,,,,,590,,,,,,,,,,,,,,,,,,,,,,,,,,18,,
Ortrugo,,,,,,,,,,,,,,,,,,,611,,,,,,,,,,,,,,,,,,,,,,,,,
Oseleta,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,
Osteiner,,,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Otskhanuri Sapere,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Padeiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,
Palatina,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Palava,,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,
Pallagrello Bianco,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,
Pallagrello Nero,,,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,
Palomino Fino,,115,,,,,,,,,,,,,,,,,,,,,109,,,,14,,3033,,,,,,270,18836,,,,,,,135,
Pamid,,,,,,,6792,,,,,,,,,,22,82,,,,,,,,,,,,2930,,,,,,,,,,,,,,
Pampanaro,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Pampanuto,,,,,,,,,,,,,,,,,,,356,,,,,,,,,,,,,,,,,,,,,,,,,
Pannon Frankos,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,
Panse Valenciano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Paolina,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Papazkarasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175,,,,
Pardillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4364,,,,,,,,
Parellada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8847,,,,,,,,
Parraleta,,,,,,,,,,,,,,,,,,,119,,,,,,,,,,171,,,,,,,56,,,,,,,,
Parreira Matias,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Pascale,,,,,,,,,,,,,,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,
Passau,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,
Passerina,,,,,,,,,,,,,,,,,,,894,,,,,,,,,,,,,,,,,,,,,,,,,
Patagonia,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,
Patria,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Patricia,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pavana,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,
Pe Comprido,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Pecorello,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,
Pecorino,,,,,,,,,,,,,,,,,,,1114,,,,,,,,,114,,,,,,,,,,,,,,,,
Pecsi Szagos,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,147,,,,,,,,
Pedro Gimenez,,12132,,,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pedro Ximenez,,8,,,,,,,,,,,,,,,,,,,,,,,,,,1,197,,,,,,,9036,,,,,,,,1
Pelaverga,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,
Pelaverga Piccolo,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,
Pelso,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pepella,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Perera,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
Perigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,
Perla Dei Vivi,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Perle,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
Perlette,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
Perlita,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Perricone,,,,,,,,,,,,,,,,,,,228,,,,,,,,,,,,,,,,,,,,,,,,,
Perruno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509,,,,,,,,
Persan,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,
Pervenets Magaracha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2238,,,,,,,,,,643,,,
Pervomaisky,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,
Petit Bouschet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,
Petit Courbu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,
Petit Manseng,,7,,,,,,,,,,,,1280,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,20,
Petit Rouge,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,,,,,,,,,,,
Petit Verdot,,501,,1223,,8,,27,576,,,,,862,,,,4,659,,,,,,,2,5,,132,,,,,,648,1661,,,,10,,,853,32
Pexem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Phoenix,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,21,,
Picapoll Blanco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,
Piccola Nera,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,
Picolit,,,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,,
Piculit Neri,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,
Piedirosso,,,,,,,,,,,,,,,,,,,699,,,,,,,,,,,,,,,,,,,,,,,,,
Pignola Valtellinese,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,
Pignoletto,,,,,,,,,,,,,,,,,,,1707,,,,,,,,,,,,,,,,,,,,,,,,,
Pignolo,,,,,,,,,,,,,,,,,,,93,,,,,,,,,,,,,,,,,,,,,,,,,
Pineau d'Aunis,,,,,,,,,,,,,,435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pinella,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,
Pinot Blanc,,6,,,1914,1,,125,,2,188,,732,1292,219,3870,,237,3086,,,162,,350,,,16,,22,,695,,523,525,14,,105,,,,338,23,269,9
Pinot Gris,,297,,3296,215,7,,549,100,2,219,,706,2617,,4450,,1624,17281,,,146,,2042,,,1501,,5,1301,78,,211,501,261,,216,,,,685,9,5231,12
Pinot Meunier,,12,,,,,,5,,,,,,11088,,,,,14,,,,,,,,19,,,,,,,,13,1,,,,,,50,66,
Pinot Noir,1510,1802,,4690,646,145,,640,2884,40,180,,688,29738,,,,1091,5046,64,180,3,,6521,,7,4776,1,148,1089,533,,,,962,1044,4402,1,,3,767,233,16776,55
Pinot Noir Precoce,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,19,,
Pinotage,,,,,,75,,6,,,,,,,,,,,,,,,,,,,74,,,,,,,,6240,,,,,,,,9,
Pintes,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,
Pintosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,
Piquepoul Blanc,,,,,,,,,,,,,,1455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piquepoul Noir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,4,,,,,,,,
Planta Mula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,
Planta Nova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,,,,1366,,,,,,,,
Plantet,,,,,,,,,,,,,,1105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plassa,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,
Plavac Mali,,,,,,,,,,,1569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plavay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,
Plavec Zuti,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plavina,,,,,,,,,,,643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Podarok Magaracha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,292,,,,,,,,,,212,,,
Poeloeske Muskotaly,,,,,,,,,,,,,,,,,,103,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollera Nera,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,
Portan,,,,,,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portland,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,
Posip Bijeli,,,,,,,,,,,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poulsard,,,,,,,,,,,,,,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pozsonyi,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
Praca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166,,,,,,,,,,,,,,,
Prairie Star,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,
Prensal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,
Preto Cardana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,
Preto Martinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,
Prie,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,
Prieto Picudo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587,,,,,,,,
Primavera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,
Primetta,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,
Prokupac,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15180,,,,,,,,,,,,
Promissao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
Prosecco,,10,,,,173,,,,,,,,,,,,,18255,,,,,,,,,,,,,,,,,,,,,,,,,
Prosecco Lungo,,,,,,,,,,,,,,,,,,,1367,,,,,,,,,,,,,,,,,,,,,,,,,
Prunesta,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,
Pugnitello,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
Quagliano,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Quebranta,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,,,,,,,15,,,,,,,,
Rabigato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1273,,,,,,,,,,,,,,,
Rabigato Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Rabo de Anho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,,,,,,
Rabo de Lobo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
Rabo de Ovelha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,908,,,,,,,,,,,,,,,
Raboso Piave,,43,,,,,,,,,,,,,,,,,728,,,,,,,,,,,,,,,,,,,,,,,,,
Raboso Veronese,,,,,,,,,,,,,,,,,,,277,,,,,,,,,,,,,,,,,,,,,,,,,
Ramisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,
Ranfol,,,,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ranna Melnishka Loza,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rathay,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,,,,,,,,,,,
Rauschling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,
Rebo,,,,,,1,,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,,,,,,,,
Recantina,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,
Red Globe,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,
Red Semillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,
Refosco,,,,,,1,,,,,122,,,,,,5,,,,,,,,,,,,,,,,,1292,,,,,,,,,,
Refosco dal Peduncolo Rosso,,,,,,,,,,,,,,,,,,,1076,,,,,,,,,,,,,,,,,,,,,,,,,
Refosco di Faedis,,,,,,,,,,,,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,
Refren,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Regent,,,,,,,,,,,,,,,,,,3,7,,,,,,,,,,,,,,,,,,41,,,,,19,,
Regina,,,,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,
Regner,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
Reichensteiner,,,,,,,,5,,,,,,,,80,,,,,,,,,,,72,,,,,,,,,,,,,,,71,,
Reliance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Retagliado Bianco,,,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,
Ribolla Gialla,,,,,,,,,,,,,,,,,,,435,,,,,,,,,,,,,,,743,,,,,,,,,,
Rieslaner,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rieslina,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riesling,,89,,4114,1852,9,,871,367,437,676,,1181,3490,,22520,2,1304,446,11,111,121,,1343,,,979,0,18,,882,,605,676,211,161,12,,,3,2702,1,4852,15
Riesus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,
Rio Grande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Ripolo,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Riton,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,255,,,,,,,,,,,,,
Rkatsiteli,,,2469,,,,3121,,,,57,,,,25324,,,,,,3552,,,11508,,,,,,356,702,,,,,,,,,,11552,,,
Robola,,,,,,,,,,,,,,,,,465,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roditis,,,,,,,,,,,,,,,,,4661,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roditis(Red),,,,,,,,,,,,,,,,,3834,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roesler,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rojal Tinta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1801,,,,,,,,
Rollo,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,
Rombola Red,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297,,,,,,,,
Romeiko,,,,,,,,,,,,,,,,,1597,,,,,,,,,,,,,,,,,,,,,,,,,,,
