"Commune","Cave coopérative","Qté tot livrée à la cave coop (hl)","Part Vins AOP rouge/rosé livrée (%)","Part Vins AOP blanc livrée (%)","Part Vins IGP rouge/rosé livrée (%)","Part Vins IGP blanc livrée (%)","Part Vins sans IG et autres rouge/rosé livrée (%)","Part Vins sans IG et autres blanc livrée (%)","code"
"30- ROCHEFORT-DU-GARD","30-CAVE COOP DE ROCHEFORT DU GARD","20376","81.7","6","2.8","2.1","6.7","0.7","30"
"30- SAINT-CHRISTOL-LES-ALES","30-CAVE COOP DE ST CHRISTOL LES A","31345","0","0","87.8","10","0.4","1.8","30"
"30- BARJAC","30-CAVE COOP DE BARJAC","17393","2.3","0","92.6","2.5","2.5","0","30"
"30- MASSILLARGUES-ATTUECH","30-CAVE COOP DE MASSILLARGUES A","32607","0","0","79.2","20.5","0.3","0","30"
"30- LAUDUN-L'ARDOISE","30-LES VIGNERONS DES 4 CHEMINS","28816","56.9","7.1","28.3","3.7","2.8","1.2","30"
"30- BEAUCAIRE","30-BEAUCAIRE CAVE COOPERATIVE SCA","43424","0","0","75.5","11.2","11.1","2.3","30"
"30- MARUEJOLS-LES-GARDON","30-CAVE COOP DE MARUEJOLS LES G","16442","0","0","62","31.4","6.6","0","30"
"30- SAINT-LAURENT-DES-ARBRES","30-CAVE COOP DE ST LAURENT DES A","10335","70.7","8.5","5.4","0","12.2","3.3","30"
"30- MONTFRIN","30-CAVE COOP DE MONTFRIN","55814","47.4","1.7","39.6","4.4","6.9","0","30"
"30- DURFORT-ET-SAINT-MARTIN-DE-SOSSENAC","30-DURFORT CAVE COOPERATIVE","28239","3.1","1","66.6","26.2","2.8","0.4","30"
"30- CHUSCLAN","30-CAVE COOP DE CHUSCLAN LAUDUN","110168","66.4","6.7","24.3","2.6","0.1","0","30"
"30- SAINT-HIPPOLYTE-DU-FORT","30-ST HIPPOLYTE DU FORT C.COOP","11289","7.2","2.7","75.5","13","1.6","0","30"
"30- VAUVERT","30-GALLICIAN","63878","32.9","3.9","47.5","5.4","10.1","0.2","30"
"30- TORNAC","30-CAVE COOP DE TORNAC","19151","0.4","0","82.1","17.5","0","0","30"
"30- REMOULINS","30-CAVE COOPERATIVE DE REMOULINS","8918","78.6","2.1","17.9","1.4","0","0","30"
"30- SAINT-PONS-LA-CALM","30-CAVE COOP SAINT PONS LA CALM","14962","80.9","0.2","13.5","0","5.4","0","30"
"30- POUGNADORESSE","30-POUGNADORESSE (CAVE COOP) *","5150","36.2","0","59.7","0","0","4.2","30"
"30- FONTANES","30-FONTANES (CAVE COOPERATIVE)","27524","0.3","0","90.7","5.8","3.1","0","30"
"30- MONTAGNAC","30-MONTAGNAC CAVE COOP SCA","34710","0","0","72.1","22.2","4.8","0.9","30"
